symbol,high52,low52,dividendAmount,dividendYield,dividendDate,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg,avg10DaysVolume,avg1DayVolume,avg3MonthVolume,declarationDate,dividendFreq,eps,dtnVolume,nextDividendPayDate,nextDividendDate,fundLeverageFactor
GOOG,193.31,121.46,0.8,0.48083,2024-09-09 00:00:00.0,23.60897,1.1229,7.51481,6.96002,16.85699,57.6394,58.0998,26.7015,27.8716,26.7015,27.8716,30.8709,15.9608,27.60372,1.89714,2.07918,0.0,7.5715,9.549,8.2945,6.96769,47.5602,0.0,0.0,13.3847,13.3847,0.0,5585000000.0,0.0,2036705300000.0,24.40781,0.0,0.0,0.0,0.2,2024-09-16 00:00:00.0,1.04641,0.0,0.0,0.0,15786819,20732476,17529785,2024-07-17 00:00:00.0,4,5.80058,13718162,2024-12-16 00:00:00.0,2024-12-09 00:00:00.0,0.0
MO,53.53,39.065,4.08,7.69666,2024-09-16 00:00:00.0,9.21136,0.26716,-25.82545,3.93667,7.6799,69.5639,69.6418,50.0517,72.0674,50.0517,72.0674,-301.2902,20.7844,37.55407,0.28103,0.4549,0.0,106.4061,-843.6614,-791.3014,5.77765,52.0101,0.0,0.0,-0.8991,-1.9376,0.0,1706224328.0,0.0,90446951627.0,-1.76376,0.0,0.0,0.0,1.02,2024-10-10 00:00:00.0,0.68937,0.0,0.0,0.0,7098810,9886658,8648919,2024-08-22 00:00:00.0,4,4.56556,4705264,2025-01-10 00:00:00.0,2024-12-16 00:00:00.0,0.0
AMZN,201.2,118.35,0.0,0.0,,40.83614,-0.05154,8.57356,3.31925,16.22591,48.0431,50.1375,7.35,9.1129,7.35,9.1129,21.9326,6.5835,14.13812,0.83964,1.09569,0.0,35.4747,66.7557,59.1561,4.18257,230.7391,0.0,0.0,11.8295,12.3201,0.0,10495566881.0,0.0,1816992538438.0,22.54023,0.0,0.0,0.0,0.0,,1.15457,0.0,0.0,0.0,31842141,45752060,42228582,,0,2.9,29841979,,,0.0
AMCR,11.3,8.45,0.5,4.48029,2024-09-06 00:00:00.0,22.25743,-0.77969,3.6397,1.03178,9.76643,19.8826,21.3295,5.3519,7.2701,5.4252,7.3833,18.401,5.0108,6.198,0.57123,1.16522,0.0,63.3086,187.0225,181.71,0.505,-28.3688,0.0,0.0,-7.173,-7.173,0.0,1444343212.0,0.0,16118870245.0,2.68703,0.0,0.0,0.0,0.125,2024-09-26 00:00:00.0,0.8649,0.0,0.0,0.0,9770003,8732767,10382536,2024-08-15 00:00:00.0,4,0.505,4437355,2024-12-26 00:00:00.0,2024-12-06 00:00:00.0,0.0
AEE,84.4,67.03,2.68,3.2823,2024-09-11 00:00:00.0,18.63912,3.2519,1.64418,2.71102,6.57818,52.0512,53.4482,16.8418,15.8866,16.9137,16.0098,10.4472,2.968,2.96886,0.30428,0.67325,0.0,55.3026,152.2968,139.5269,4.41759,3.5473,0.0,0.0,-5.8084,-12.5063,0.0,266816725.0,0.0,21785585596.0,43.24963,0.0,0.0,0.0,0.67,2024-09-30 00:00:00.0,0.4506,0.0,0.0,0.0,956205,1722260,1404809,2024-08-09 00:00:00.0,4,4.38,966361,2024-12-30 00:00:00.0,2024-12-11 00:00:00.0,0.0
AAL,16.15,9.07,0.0,0.0,2020-02-04 00:00:00.0,-54.97779,0.01583,-1.5675,0.13894,2.5177,23.9372,27.7521,-0.2263,5.002,-0.2263,5.002,2.6503,2.779,-0.36773,0.44917,0.60118,0.0,98.3199,-831.163,-718.879,-0.18462,-104.7999,0.0,0.0,7.7944,1.0473,0.0,656703913.0,0.0,6678678795.0,-7.22806,0.0,0.0,0.0,0.1,2020-02-19 00:00:00.0,1.45022,0.0,0.0,0.0,26601902,34011224,36490885,2020-01-22 00:00:00.0,4,1.20611,23303065,2020-05-19 00:00:00.0,2020-05-04 00:00:00.0,0.0
AEP,104.41,69.38,3.52,3.57215,2024-05-09 00:00:00.0,19.72852,-4.19428,1.78587,2.3616,7.37361,44.8954,44.5907,13.4876,7.4314,13.5439,7.4794,10.5142,2.706,2.95887,0.3199,0.65463,0.0,57.416,169.3937,154.6751,4.9948,29.6905,0.0,0.0,-3.3464,0.2732,0.0,532119995.0,0.0,52435104307.0,49.12999,0.0,0.0,0.0,0.88,2024-06-10 00:00:00.0,0.52358,0.0,0.0,0.0,2487955,3311503,2733657,2024-04-23 00:00:00.0,4,4.24,2447207,2024-09-10 00:00:00.0,2024-08-09 00:00:00.0,0.0
AXP,258.63,140.91,2.8,1.09791,2024-07-05 00:00:00.0,19.19532,1.64029,5.58103,2.88307,9.34285,55.8332,64.2814,16.9273,20.0132,16.9273,20.0132,34.9767,3.8041,8.01349,1.65353,1.6567,0.0,62.2798,180.044,174.4109,13.39337,36.2085,0.0,0.0,9.6921,9.6172,0.0,710911653.0,0.0,181303798864.0,41.48876,0.0,0.0,0.0,0.7,2024-08-09 00:00:00.0,1.21332,0.0,0.0,0.0,2205333,3005866,2786360,2024-05-07 00:00:00.0,4,11.21,2518173,2024-11-11 00:00:00.0,2024-10-07 00:00:00.0,0.0
AIG,80.83,57.59,1.6,2.14967,2024-09-16 00:00:00.0,15.78559,-0.24355,1.08552,1.11435,4.97871,28.5922,33.8806,-1.3957,-61.025,8.6488,7.2886,8.7329,0.8976,-0.96888,0.25167,0.68032,0.0,18.267,22.3496,22.3496,4.78411,-17.8101,0.0,0.0,-14.2393,15.9985,0.0,643951434.0,0.0,47929305232.0,68.39136,0.0,0.0,0.0,0.4,2024-09-30 00:00:00.0,1.08907,0.0,0.0,0.0,2963607,3828443,4445559,2024-07-31 00:00:00.0,4,4.98,2628387,2024-12-30 00:00:00.0,2024-12-16 00:00:00.0,0.0
AMT,236.13,154.58,6.48,2.86523,2024-06-14 00:00:00.0,42.2512,-4.22897,23.54524,7.99644,18.17345,71.4507,71.6615,21.9538,31.0416,21.3471,31.3208,21.5838,4.185,4.32232,0.5239,0.59722,0.0,74.995,454.6409,415.9533,5.33121,156.6917,0.0,0.0,4.0434,3.8871,0.0,467081657.0,0.0,105635187547.0,8.2556,0.0,0.0,0.0,1.62,2024-07-12 00:00:00.0,0.80763,0.0,0.0,0.0,1710854,2284217,2192577,2024-05-23 00:00:00.0,4,3.18,921558,2024-10-14 00:00:00.0,2024-09-16 00:00:00.0,0.0
AWK,149.0,113.34,3.06,2.18306,2024-08-13 00:00:00.0,28.99164,3.36892,2.47916,5.79279,13.79213,59.8302,62.8372,21.9316,24.1079,21.9316,24.1079,9.6307,3.2592,3.24255,0.47753,0.63836,0.0,54.0677,130.1713,124.4483,4.89003,1.7387,0.0,0.0,11.6561,7.6828,0.0,194863034.0,0.0,27313951475.0,52.09819,0.0,0.0,0.0,0.765,2024-09-04 00:00:00.0,0.66654,0.0,0.0,0.0,596631,1212456,911711,2024-07-31 00:00:00.0,4,4.89119,553083,2024-12-04 00:00:00.0,2024-11-13 00:00:00.0,0.0
AMP,449.94,306.6275,5.92,1.34751,2024-08-05 00:00:00.0,15.07063,-1.2924,8.42192,2.60052,14.9862,58.3397,58.0601,18.0885,18.8752,18.0885,18.8752,67.6292,2.1596,1.81127,2.14491,2.9962,0.0,37.7921,79.9719,68.0152,29.16135,6.9269,0.0,0.0,12.2924,12.5481,0.0,98188661.0,0.0,43137224437.0,50.72358,0.0,0.0,0.0,1.48,2024-08-16 00:00:00.0,1.36639,0.0,0.0,0.0,391129,481897,481316,2024-07-24 00:00:00.0,4,23.71,263919,2024-11-18 00:00:00.0,2024-11-05 00:00:00.0,0.0
AME,186.325,136.89,1.12,0.66675,2024-09-16 00:00:00.0,29.37313,2.25345,4.17182,5.64275,23.86816,35.6476,35.9924,19.5151,19.4648,19.5151,19.4648,15.3672,7.9162,10.78904,0.69117,1.2561,0.0,16.4478,31.1555,21.5722,5.7396,7.4693,0.0,0.0,7.2582,6.293,0.0,231535965.0,0.0,38893411400.0,39.96098,0.0,0.0,0.0,0.28,2024-09-30 00:00:00.0,1.18076,0.0,0.0,0.0,907070,1077909,1295785,2024-08-08 00:00:00.0,4,5.67,686295,2024-12-30 00:00:00.0,2024-12-16 00:00:00.0,0.0
